ID,nodo1,nodo2,nodo3,nodo4,nodo5,nodo6,nodo7,nodo8,nodo9,nodo10,nodo11,nodo12,nodo13,nodo14,nodo15,nodo16,nodo17,nodo18,nodo19,nodo20,nodo21,nodo22,nodo23,nodo24,nodo25,nodo26,nodo27,nodo28,nodo29,nodo30,nodo31,nodo32,nodo33,nodo34,nodo35,nodo36,nodo37,nodo38,nodo39,nodo40,nodo41,nodo42,nodo43,nodo44,nodo45,nodo46,nodo47,nodo48,nodo49,nodo50,nodo51,nodo52,nodo53,nodo54,nodo55,nodo56,nodo57,nodo58,nodo59,nodo60,nodo61,nodo62,nodo63,nodo64,nodo65,nodo66,nodo67,nodo68,nodo69,nodo70,nodo71,nodo72,nodo73,nodo74,nodo75,nodo76
002MSVIS,40,49,45,19,45,61,51,55,49,43,41,39,53,25,39,50,37,46,40,49,42,49,66,42,49,54,65,52,57,23,61,71,50,64,60,38,30,26,70,57,68,54,47,23,19,38,42,40,17,39,56,52,54,45,45,36,36,52,27,43,45,45,48,33,47,40,49,64,31,54,58,62,59,54,11,69
003MSVIS,39,51,46,20,48,65,53,55,59,53,45,50,66,18,42,51,34,52,45,51,47,53,65,46,57,62,65,66,61,28,64,73,56,71,61,47,29,36,71,59,71,65,55,25,34,38,50,49,17,40,67,55,52,53,49,43,50,68,31,44,51,40,50,41,51,46,53,65,43,58,62,66,66,57,24,67
004MSVIS,41,46,43,19,38,63,52,52,52,46,41,39,60,27,43,44,34,47,42,47,50,49,66,41,58,58,63,60,51,27,64,68,55,69,56,50,29,36,72,56,71,64,44,23,31,42,47,49,17,38,64,49,50,52,40,42,37,59,27,45,46,41,48,43,49,47,50,66,40,55,60,65,62,53,25,65
005MSVIS,42,49,42,20,38,64,56,53,53,50,43,44,64,23,45,53,35,48,41,50,49,54,67,46,59,58,66,64,54,35,67,71,55,67,59,48,32,34,74,54,67,61,49,27,33,40,51,44,18,30,64,55,57,52,44,42,51,64,26,45,50,38,49,39,52,46,51,66,45,56,61,67,65,53,26,68
010MSVIS,39,48,42,20,42,64,59,57,51,49,44,45,64,29,45,51,33,48,43,49,51,53,67,44,52,57,65,65,53,29,67,72,55,69,60,48,34,33,73,63,71,60,48,27,34,39,49,49,17,39,64,51,52,49,47,43,45,63,31,45,50,38,54,41,51,44,53,66,43,55,61,67,64,57,31,66
011MSVIS,39,50,44,19,50,65,59,58,57,49,44,41,67,23,46,50,42,51,43,51,52,52,69,46,55,62,66,64,55,34,66,73,60,66,61,47,34,32,72,61,70,61,44,26,30,41,52,45,17,44,64,56,53,52,51,41,45,68,27,45,51,43,49,40,51,47,54,69,39,57,64,65,67,58,31,68
012MSVIS,37,46,45,19,38,62,47,50,52,47,43,45,60,24,42,51,31,47,39,50,44,53,67,47,56,59,65,60,55,23,63,73,57,71,56,51,35,34,72,60,70,46,60,27,34,40,47,45,13,29,64,48,49,43,50,38,49,62,28,41,47,42,53,38,49,42,51,68,42,57,61,64,67,52,20,68
017MSVIS,40,50,38,20,46,61,53,51,51,48,43,42,60,27,46,51,36,49,39,52,47,54,62,36,53,58,63,62,53,29,62,71,54,66,57,50,34,31,73,52,68,63,51,25,31,42,50,49,17,38,67,55,55,53,47,43,48,63,31,43,48,39,45,41,50,47,51,64,38,51,60,65,62,56,26,64
018MSVIS,41,51,43,20,50,64,57,54,54,49,38,42,65,27,46,52,32,49,36,53,52,55,65,41,57,60,66,64,56,32,65,72,56,66,60,49,33,34,71,52,70,58,49,25,35,40,49,45,18,40,67,56,58,50,46,38,52,65,28,45,50,34,48,36,55,49,53,65,39,57,59,67,63,59,25,66
019MSVIS,40,49,47,20,43,65,50,54,56,53,44,48,64,23,43,50,40,52,43,50,47,49,66,49,57,60,66,65,58,24,65,73,58,70,59,52,34,39,72,54,69,60,51,26,36,40,46,47,17,32,65,52,51,51,49,41,41,64,25,46,49,40,54,39,49,49,49,70,38,59,63,66,64,53,22,66
021MSVIS,41,48,44,20,45,65,57,56,52,53,44,41,68,29,45,47,38,53,44,49,52,50,67,41,53,64,64,67,55,34,65,73,58,68,61,51,28,40,73,61,73,61,57,23,35,39,49,48,15,45,66,54,57,52,47,42,43,64,31,42,48,37,52,41,51,44,50,69,35,59,62,69,67,56,29,70
022MSVIS,38,48,43,19,38,65,57,57,56,48,44,42,65,26,43,49,36,49,43,51,49,51,65,45,58,60,68,65,55,37,64,73,59,68,60,57,32,38,71,61,69,60,55,26,36,35,48,46,18,40,66,54,51,47,49,42,43,67,30,45,50,37,53,41,51,46,52,66,33,59,65,65,68,59,25,64
027MSVIS,37,48,39,19,42,58,50,48,48,36,42,32,65,17,48,54,23,50,29,53,49,54,67,42,54,57,59,64,56,30,67,68,51,68,58,33,32,28,68,58,66,58,44,22,29,39,47,45,15,36,62,54,51,45,42,34,44,66,17,44,50,34,48,36,50,44,52,64,42,50,61,63,63,58,31,67
