ID,nodo1,nodo2,nodo3,nodo4,nodo5,nodo6,nodo7,nodo8,nodo9,nodo10,nodo11,nodo12,nodo13,nodo14,nodo15,nodo16,nodo17,nodo18,nodo19,nodo20,nodo21,nodo22,nodo23,nodo24,nodo25,nodo26,nodo27,nodo28,nodo29,nodo30,nodo31,nodo32,nodo33,nodo34,nodo35,nodo36,nodo37,nodo38,nodo39,nodo40,nodo41,nodo42,nodo43,nodo44,nodo45,nodo46,nodo47,nodo48,nodo49,nodo50,nodo51,nodo52,nodo53,nodo54,nodo55,nodo56,nodo57,nodo58,nodo59,nodo60,nodo61,nodo62,nodo63,nodo64,nodo65,nodo66,nodo67,nodo68,nodo69,nodo70,nodo71,nodo72,nodo73,nodo74,nodo75,nodo76
002MSVIS,3,64,15,70,60,38,67,34,10,51,59,30,44,50,37,10,29,25,65,16,50,25,57,3,37,41,21,43,10,5,54,47,68,55,58,66,68,20,48,73,63,69,71,74,5,4,17,54,73,58,47,65,38,45,47,66,41,62,66,36,32,58,50,53,6,33,17,48,23,46,45,41,30,17,0,26
003MSVIS,3,50,7,33,59,31,48,7,39,45,37,18,49,59,13,8,39,23,5,18,39,18,2,11,44,26,5,41,44,12,33,37,68,69,71,53,43,69,36,63,60,53,58,51,74,5,13,8,62,48,53,58,41,49,48,13,0,42,59,17,13,41,28,10,6,34,6,5,5,26,19,18,32,25,2,33
004MSVIS,20,5,45,71,63,65,67,66,69,71,60,73,68,41,22,52,68,53,62,51,60,30,64,73,45,61,58,51,59,36,46,69,71,57,60,61,73,73,72,74,57,70,71,74,73,18,37,42,62,65,49,72,57,58,69,46,70,60,64,39,48,70,56,33,10,58,22,58,69,61,64,13,22,42,0,16
005MSVIS,28,62,57,68,73,66,73,73,54,70,73,41,73,68,51,41,72,70,53,46,63,55,50,32,70,61,37,61,68,31,47,60,69,71,74,70,72,56,61,73,69,72,71,73,67,30,69,40,75,73,68,70,71,71,73,71,58,71,62,51,50,73,73,62,3,69,34,47,49,67,58,19,45,34,1,64
010MSVIS,64,66,39,67,66,65,69,71,57,67,55,36,64,69,30,68,56,64,9,11,69,48,57,52,67,62,48,65,48,32,69,65,74,74,75,72,74,66,68,74,74,75,74,73,68,67,59,55,69,68,59,69,73,64,70,58,64,67,68,18,63,66,66,14,10,63,43,55,68,65,59,15,66,43,3,53
011MSVIS,67,71,53,65,72,72,72,72,72,73,58,71,71,63,64,27,71,54,52,0,68,42,65,72,70,55,60,55,36,0,33,70,70,70,68,72,70,48,70,72,72,72,54,69,63,71,71,53,54,73,69,73,72,72,72,58,72,72,72,44,40,66,63,44,46,70,68,48,69,72,72,59,64,50,3,72
012MSVIS,50,64,27,72,70,62,71,67,68,71,65,67,70,67,35,64,71,62,56,62,61,56,49,69,40,63,44,62,56,0,31,70,71,71,70,71,71,67,71,71,71,74,67,69,47,44,2,55,67,71,61,70,64,70,70,65,70,71,69,30,62,63,68,60,17,65,57,33,67,57,63,1,69,46,1,51
017MSVIS,35,12,72,73,64,17,65,70,58,58,61,53,64,50,42,48,31,51,65,0,52,0,49,39,45,43,3,52,2,5,35,51,69,68,68,67,72,59,67,68,68,70,57,57,49,44,43,67,62,62,49,69,70,53,41,60,32,57,51,29,24,32,20,56,16,43,20,36,39,8,18,46,34,27,6,54
018MSVIS,73,30,75,74,69,45,74,60,69,71,62,35,71,69,50,63,66,74,50,20,69,19,64,68,68,65,53,52,37,42,48,69,74,75,75,75,75,75,68,74,75,70,73,75,38,71,52,55,75,74,67,75,52,67,75,68,56,75,73,60,47,70,68,65,52,74,65,55,67,71,69,24,68,63,21,64
019MSVIS,25,31,50,75,73,55,73,66,61,65,60,39,67,66,8,60,59,71,3,14,43,25,26,45,57,39,47,61,51,15,63,66,74,73,73,70,73,73,62,71,72,72,61,73,74,37,53,58,75,69,56,72,54,61,72,57,35,63,57,21,57,43,67,53,42,43,51,19,64,54,22,49,63,63,35,69
