ID,nodo1,nodo2,nodo3,nodo4,nodo5,nodo6,nodo7,nodo8,nodo9,nodo10,nodo11,nodo12,nodo13,nodo14,nodo15,nodo16,nodo17,nodo18,nodo19,nodo20,nodo21,nodo22,nodo23,nodo24,nodo25,nodo26,nodo27,nodo28,nodo29,nodo30,nodo31,nodo32,nodo33,nodo34,nodo35,nodo36,nodo37,nodo38,nodo39,nodo40,nodo41,nodo42,nodo43,nodo44,nodo45,nodo46,nodo47,nodo48,nodo49,nodo50,nodo51,nodo52,nodo53,nodo54,nodo55,nodo56,nodo57,nodo58,nodo59,nodo60,nodo61,nodo62,nodo63,nodo64,nodo65,nodo66,nodo67,nodo68,nodo69,nodo70,nodo71,nodo72,nodo73,nodo74,nodo75,nodo76
002MSVIS,57,68,65,38,53,63,51,59,66,66,43,64,65,62,64,70,68,68,65,66,62,70,67,66,69,69,66,63,63,69,57,55,54,54,67,58,50,63,56,54,64,51,55,46,64,60,68,67,64,61,66,70,49,68,69,56,57,66,64,62,63,65,63,61,69,62,69,64,60,60,70,67,64,58,65,62
003MSVIS,52,58,51,64,63,63,53,63,55,60,60,48,56,52,68,52,57,61,51,68,67,67,67,61,63,55,61,63,70,61,58,59,61,59,63,61,56,64,63,65,53,64,61,53,62,53,61,63,60,66,63,53,63,60,64,64,61,60,66,60,48,66,57,65,57,64,63,65,63,60,63,67,65,65,52,67
004MSVIS,63,65,52,64,60,55,54,61,57,53,63,45,62,55,60,61,48,59,53,63,65,67,51,60,62,59,54,62,64,63,60,57,49,54,51,52,56,39,64,51,52,55,47,50,51,64,59,50,46,63,52,68,58,65,54,62,53,63,54,56,59,60,67,50,55,60,58,48,60,60,61,55,68,50,61,59
005MSVIS,67,65,54,55,38,64,67,61,67,73,39,57,67,53,69,65,69,66,49,69,67,68,64,68,65,66,66,69,65,60,59,67,67,59,45,43,56,43,70,64,66,55,66,57,49,64,63,66,62,47,63,70,65,55,64,66,65,64,50,69,70,67,65,63,63,69,65,63,69,62,69,65,60,62,54,61
010MSVIS,49,62,54,66,33,63,51,61,61,67,59,63,67,43,45,47,62,62,61,48,46,64,54,60,65,66,57,52,58,53,58,53,46,62,65,50,48,41,60,63,56,60,51,27,38,39,64,62,28,53,61,48,61,56,54,67,59,64,49,48,63,62,60,69,65,51,68,53,61,64,63,60,65,60,67,61
011MSVIS,62,62,55,48,64,60,60,57,53,53,51,54,59,56,60,50,59,56,54,49,64,62,55,48,53,54,57,63,51,51,53,57,45,66,52,52,22,43,48,47,63,60,52,57,43,53,59,54,57,58,63,61,53,47,52,48,51,65,32,38,56,50,55,56,47,52,51,59,49,53,49,58,63,52,44,57
012MSVIS,69,67,55,59,62,69,60,64,66,61,63,58,60,65,64,65,67,69,66,66,67,67,66,61,64,68,68,70,66,72,69,65,41,39,65,66,56,48,61,47,51,62,66,65,49,65,70,67,66,66,67,69,67,66,61,67,61,72,58,61,66,68,66,66,66,67,67,69,57,68,69,66,68,57,64,67
017MSVIS,60,69,63,70,70,69,69,70,69,69,65,65,64,56,72,70,64,60,66,70,70,71,69,63,58,69,67,64,65,72,71,45,70,60,68,64,47,36,51,67,48,49,65,50,36,61,73,67,70,69,64,65,69,65,70,67,55,64,42,70,49,68,66,62,71,73,68,70,50,62,69,64,64,64,68,50
018MSVIS,43,65,59,47,41,62,51,58,63,60,34,41,63,44,66,47,57,53,56,67,68,66,61,67,61,63,68,64,63,55,49,62,39,25,29,31,27,45,71,59,63,34,36,22,54,60,66,56,48,65,64,67,55,63,62,44,46,67,35,64,51,67,65,50,63,63,66,56,63,65,69,69,64,57,59,64
019MSVIS,64,53,71,43,64,68,61,61,58,71,56,70,66,60,64,64,66,66,51,62,70,65,67,68,63,66,68,67,65,63,69,60,60,58,43,53,52,55,63,64,61,63,62,62,55,67,66,69,65,64,66,63,61,61,66,70,70,69,60,64,67,67,68,69,64,52,58,72,68,66,65,67,67,53,64,67
021MSVIS,47,61,68,46,65,71,61,69,67,65,65,66,61,57,57,59,65,63,59,70,61,69,71,66,69,66,58,61,62,60,55,48,63,55,48,47,37,58,52,51,48,57,60,37,42,59,58,69,43,64,68,64,67,63,61,64,65,69,57,68,52,60,56,59,66,57,61,69,67,62,72,69,62,66,54,48
022MSVIS,57,55,61,39,70,60,65,62,54,71,57,64,59,54,56,55,48,48,56,60,60,67,62,65,54,55,52,66,53,54,53,41,48,43,35,50,46,57,58,49,51,19,56,52,51,61,63,59,46,66,61,57,49,64,69,60,56,70,51,58,48,54,58,59,56,55,68,55,60,63,61,67,69,51,65,61
027MSVIS,46,56,62,53,58,59,63,41,54,58,51,57,64,52,55,50,52,50,58,60,58,52,48,56,42,47,57,60,65,52,52,56,59,44,42,47,47,55,42,64,53,40,60,44,48,61,61,55,44,55,51,62,43,55,60,54,53,61,47,57,53,61,56,56,57,53,49,53,56,51,56,55,54,54,59,47
030MSVIS,68,65,68,15,63,68,65,68,65,64,68,66,68,41,70,66,65,71,70,70,71,69,67,69,64,66,64,70,67,64,67,35,63,42,60,33,42,65,31,64,35,66,67,32,66,68,65,69,41,39,71,60,65,63,65,63,66,67,46,69,69,67,68,68,68,70,66,65,74,63,64,65,70,69,59,65
031MSVIS,60,62,43,40,56,62,65,61,45,46,52,44,69,54,64,58,58,55,49,56,61,61,42,61,59,58,64,66,64,51,44,64,48,52,65,61,51,48,66,61,39,60,61,67,65,63,65,40,57,50,64,47,70,53,55,67,49,49,49,66,64,45,55,42,61,61,49,67,67,64,69,68,58,57,59,60
032MSVIS,63,66,69,53,70,69,63,68,69,69,68,69,68,59,69,66,71,66,67,68,67,67,68,67,68,69,69,65,70,63,56,57,59,50,68,58,56,30,59,61,60,55,57,52,47,63,67,65,50,62,68,65,68,68,69,62,70,64,56,64,68,67,67,66,67,67,68,69,67,69,68,64,67,57,58,58
033MSVIS,58,68,41,46,65,52,58,56,56,60,58,58,48,32,63,60,60,62,61,63,55,62,50,58,66,66,54,53,63,42,57,37,52,20,56,43,59,54,46,55,48,57,61,55,58,47,65,56,51,60,65,50,46,65,54,53,50,62,55,58,47,59,56,50,65,62,64,63,63,64,69,61,63,61,50,44
035MSVIS,62,62,68,61,62,65,47,57,66,36,66,52,59,41,57,54,60,63,64,64,58,63,64,61,57,41,65,61,65,54,54,62,64,54,30,59,37,38,64,63,61,51,62,59,47,65,58,67,63,41,62,55,49,66,50,66,59,44,44,56,53,61,54,62,62,52,66,61,67,54,61,62,68,48,60,64
036MSVIS,63,44,65,57,61,65,59,63,62,53,60,55,58,59,61,60,57,61,62,47,43,47,49,65,63,52,57,63,59,55,46,54,44,44,46,45,49,42,52,64,62,43,61,57,40,58,58,65,59,67,66,68,58,63,58,56,46,63,53,61,60,61,63,60,56,63,59,42,63,67,61,60,63,60,51,62
038MSVIS,60,59,65,58,62,60,66,59,64,65,46,53,68,59,65,64,68,67,54,70,63,53,61,54,66,68,64,63,64,53,56,46,57,53,53,55,59,63,50,57,52,59,59,57,66,67,70,60,60,51,59,64,59,68,55,57,64,69,36,57,67,69,62,58,60,63,57,64,50,67,70,67,66,54,50,57
039MSVIS,61,69,67,69,67,59,43,57,67,69,68,65,39,55,65,41,63,64,69,66,63,66,70,60,63,68,69,32,50,65,49,39,44,61,67,62,54,49,61,58,68,45,39,47,49,44,65,61,56,63,54,63,55,58,71,67,61,67,46,67,68,69,69,63,64,52,67,73,71,67,64,69,64,71,67,59
040MSVIS,57,63,65,63,65,67,56,66,65,66,68,66,64,58,42,59,63,56,66,67,64,58,70,63,53,63,56,68,64,66,67,54,53,68,63,66,54,64,60,58,42,56,55,67,67,57,57,68,64,64,62,61,67,67,60,69,65,67,62,60,72,66,64,65,65,60,57,66,62,56,57,65,65,60,68,69
041MSVIS,55,46,59,50,59,60,56,51,56,39,54,52,65,43,59,47,41,54,57,55,51,60,60,48,42,46,62,61,66,55,64,62,56,57,46,41,51,46,60,62,46,47,54,41,53,53,49,59,53,61,49,57,58,60,48,57,43,51,51,55,50,50,54,53,62,52,60,62,58,52,53,59,57,50,49,48
042MSVIS,70,54,70,54,71,65,69,66,59,66,60,51,64,59,65,71,68,69,69,69,72,71,69,70,61,66,59,71,57,64,61,72,59,54,58,56,63,38,69,62,73,51,46,68,60,68,68,64,50,64,68,65,70,64,69,56,68,74,49,69,62,63,66,69,69,70,67,67,66,58,69,68,72,69,67,65
043MSVIS,59,67,64,60,61,61,56,49,65,72,58,58,65,54,62,63,70,69,60,64,63,63,70,49,69,66,65,65,66,57,58,61,61,43,71,66,22,52,62,60,57,67,30,47,61,59,71,63,64,64,63,61,55,67,74,65,63,71,55,70,65,74,72,56,68,66,73,62,48,71,68,69,69,66,60,66
044MSVIS,55,56,66,52,60,59,57,55,62,65,62,61,57,48,53,56,55,61,65,57,57,52,50,53,60,60,54,55,57,56,52,52,60,49,55,51,43,39,59,59,37,56,44,32,46,53,57,61,50,53,60,44,61,56,69,60,58,57,35,55,52,59,52,61,56,57,52,54,50,57,64,58,53,61,63,58
046MSVIS,57,58,67,49,54,65,58,65,62,58,67,59,61,45,56,51,56,56,62,64,67,63,64,53,53,57,62,42,62,30,58,55,52,64,54,54,59,26,59,49,62,63,49,47,21,53,51,63,51,60,65,40,64,62,47,66,60,59,55,61,53,52,53,66,59,51,59,67,52,53,64,62,51,58,42,60
047MSVIS,69,67,64,43,63,64,71,61,66,64,67,63,63,65,67,72,67,66,68,66,58,67,65,69,66,68,68,58,54,69,57,43,58,57,63,62,57,59,47,64,57,46,49,46,56,68,67,66,55,63,63,67,65,73,67,65,63,62,59,67,68,66,66,69,67,59,67,66,69,67,67,69,66,63,68,60
048MSVIS,59,64,56,55,63,56,64,56,63,65,42,62,59,54,66,52,61,60,61,56,64,56,62,54,58,64,66,52,53,64,52,56,52,52,33,56,48,44,64,51,60,51,67,63,49,60,58,61,62,48,55,66,62,63,61,57,58,63,54,63,46,59,57,59,51,62,48,61,57,58,63,65,62,52,56,68
050MSVIS,69,72,71,63,70,73,69,71,71,70,71,70,71,64,68,71,72,72,71,71,69,73,71,72,73,72,70,70,70,71,71,71,71,74,54,58,60,71,56,74,45,31,32,37,69,68,70,70,61,71,72,69,71,69,72,71,69,72,71,69,71,71,72,70,72,69,72,71,71,71,72,70,73,72,69,52
053MSVIS,47,61,66,49,64,54,61,68,66,69,65,53,54,64,63,45,66,65,61,61,68,58,67,51,60,54,60,56,59,56,67,50,42,49,47,46,64,60,51,62,63,67,68,51,43,60,69,65,64,71,62,73,71,65,66,67,63,72,40,52,62,68,68,68,61,63,63,64,57,67,64,56,72,59,57,44
054MSVIS,49,71,68,45,72,71,70,65,72,71,68,69,72,68,71,69,71,63,67,71,62,73,71,42,68,75,70,72,70,70,74,68,58,62,51,67,64,56,65,57,56,65,67,63,34,62,69,71,64,72,68,73,64,70,70,69,65,72,71,69,66,71,69,68,71,53,70,67,57,61,72,70,71,66,70,64
055MSVIS,68,72,69,46,52,63,55,62,68,69,71,66,69,49,68,63,70,61,66,69,70,69,64,63,67,65,69,70,65,53,59,54,65,44,52,57,32,58,49,68,60,64,57,49,48,63,72,67,61,57,64,61,63,68,66,68,63,67,52,68,61,68,65,64,68,63,69,62,57,66,67,67,59,58,41,54
056MSVIS,72,73,70,56,67,73,71,72,70,74,71,72,73,43,70,71,71,70,70,70,71,69,74,70,74,73,69,70,72,66,71,70,49,66,61,67,71,72,62,60,64,68,47,51,72,71,72,70,42,71,69,73,69,72,74,69,72,70,53,72,71,73,72,72,70,72,70,73,70,74,73,72,73,71,73,74
058MSVIS,67,62,57,66,49,62,65,64,69,56,51,59,69,63,57,60,68,48,69,59,62,58,63,72,63,70,64,66,64,68,59,54,63,57,66,55,46,41,57,61,52,42,63,44,59,58,62,57,63,55,64,64,67,67,67,61,65,58,62,71,58,67,65,49,69,67,70,63,65,69,69,67,57,52,51,56
059MSVIS,46,69,54,65,59,67,69,59,67,62,42,62,64,51,67,57,55,61,64,69,66,63,65,47,67,70,68,68,67,58,55,58,50,34,55,45,58,61,57,56,60,66,51,55,51,54,64,67,59,57,64,61,66,68,67,59,61,62,62,70,48,67,64,63,69,68,71,66,44,68,69,71,62,63,57,61
061MSVIS,66,69,68,59,71,63,70,63,48,54,70,51,69,67,70,69,73,67,68,66,65,67,64,63,68,66,64,69,65,66,68,54,52,56,64,51,59,47,53,54,54,47,61,52,47,68,64,63,48,67,58,47,63,51,49,67,54,71,63,67,67,69,71,64,67,65,67,64,62,67,68,66,71,64,67,62
062MSVIS,66,65,65,53,62,65,66,69,67,63,56,63,69,47,57,69,70,64,57,67,70,69,71,71,69,69,67,68,65,63,64,66,53,52,46,62,57,47,70,55,53,47,66,45,35,62,72,66,51,69,65,59,69,68,66,60,67,65,63,55,57,66,60,56,67,65,69,71,72,58,68,65,66,57,50,58
063MSVIS,68,66,66,54,69,69,68,68,64,67,72,68,69,65,68,66,66,68,70,71,69,69,68,68,53,67,65,70,68,66,69,53,52,52,50,62,56,55,60,51,66,61,59,52,51,62,70,68,55,67,66,69,70,65,71,71,65,63,63,67,62,66,63,66,69,68,67,65,64,46,70,62,69,68,64,67
064MSVIS,53,63,62,63,69,64,64,64,67,67,65,61,69,43,51,59,58,52,50,51,65,56,66,61,60,55,49,64,58,57,60,57,56,61,63,43,47,57,59,62,63,55,55,59,49,61,50,58,53,64,52,47,67,65,60,62,48,52,64,50,63,49,60,53,62,64,65,66,59,58,60,55,67,61,66,67
065MSVIS,58,55,70,61,69,59,66,62,60,66,63,68,65,63,59,60,64,61,65,66,69,66,69,65,67,55,65,61,66,60,62,57,64,61,47,59,57,50,47,57,53,38,59,62,51,54,66,64,59,68,58,64,64,63,66,63,62,66,56,66,44,65,58,57,62,54,67,63,68,58,62,62,60,53,67,64
066MSVIS,63,67,68,44,48,70,58,67,64,60,66,52,68,47,63,54,57,64,68,66,63,64,67,62,62,62,67,65,63,59,61,55,50,53,47,61,59,65,58,48,47,59,62,63,53,62,58,58,52,58,64,57,66,65,45,60,63,55,58,67,61,52,59,59,57,63,56,64,46,57,50,68,61,63,63,50
067MSVIS,55,67,66,51,71,67,71,72,70,69,71,66,67,65,69,70,71,68,71,67,56,66,71,56,68,72,66,71,69,67,71,63,53,44,61,39,56,65,62,56,49,68,71,63,61,54,71,68,61,68,67,62,69,68,68,71,65,69,51,71,68,37,69,69,66,55,68,70,50,64,70,67,70,67,46,71
070MSVIS,67,60,68,42,53,63,63,60,58,66,68,65,67,48,62,65,66,62,71,56,64,65,63,68,70,59,56,68,61,70,59,54,53,55,40,58,45,50,52,58,67,40,55,33,65,67,61,59,50,68,65,63,60,68,61,55,65,64,36,48,61,61,67,68,65,69,69,67,67,61,63,61,65,64,65,63
071MSVIS,67,62,71,67,63,71,64,70,69,65,72,61,68,57,70,64,69,70,70,71,69,70,69,69,65,71,72,66,66,64,60,53,63,67,54,48,63,67,61,64,60,60,65,65,63,60,64,67,60,65,72,64,65,69,57,69,52,71,59,71,62,59,68,64,71,68,65,70,73,70,72,72,69,69,69,65
072MSVIS,52,55,64,59,66,63,56,63,65,60,63,65,69,56,66,73,48,55,62,67,59,69,64,63,51,62,64,66,70,62,61,59,51,51,38,62,42,57,62,48,57,61,49,35,57,62,62,63,54,53,64,64,61,66,64,64,66,61,52,67,48,60,64,60,66,55,67,64,62,62,65,53,62,59,61,56
073MSVIS,62,66,54,68,60,59,67,51,62,62,45,65,63,64,61,62,66,63,51,59,64,62,52,44,58,58,57,66,56,61,61,60,43,39,57,64,47,30,47,69,66,65,41,50,63,53,55,66,60,61,58,64,66,54,62,51,58,59,53,58,69,62,63,64,68,67,69,62,63,61,51,59,64,70,47,69
074MSVIS,67,64,54,56,58,59,65,51,60,67,45,69,57,47,51,67,67,70,52,59,64,65,48,67,67,66,59,63,52,54,69,59,56,47,46,64,62,57,55,63,57,47,63,61,59,69,66,45,58,61,59,53,45,53,68,45,71,65,36,46,62,63,69,51,61,59,62,47,65,64,69,55,68,48,55,49
075MSVIS,61,57,47,49,59,50,66,53,54,54,61,61,61,51,52,58,62,61,60,51,65,59,58,60,60,61,57,60,56,51,52,46,48,52,37,49,58,53,52,53,56,58,45,60,26,53,58,52,41,57,66,45,59,45,58,48,60,51,42,57,55,57,61,47,60,60,60,53,61,59,58,63,60,62,63,59
